class,n_images,accuracy
1355868,43,0.6046511627906976
1355932,215,0.7162790697674418
1355936,428,0.7616822429906542
1355937,648,0.7129629629629629
1355959,21,0.3333333333333333
1355978,111,0.4774774774774775
1355990,154,0.8961038961038961
1356003,12,0.4166666666666667
1356022,767,0.6323337679269883
1356075,131,0.8854961832061069
1356076,8,0.125
1356111,104,0.7115384615384616
1356126,89,0.7528089887640449
1356257,173,0.8439306358381503
1356278,17,0.7058823529411765
1356380,5,0.4
1356382,130,0.6230769230769231
1356420,38,0.8157894736842105
1356421,69,0.7101449275362319
1356428,39,0.6666666666666666
1356469,11,0.8181818181818182
1356692,60,1.0
1356781,252,0.873015873015873
1356816,37,0.8108108108108109
1356901,11,0.7272727272727273
1357330,605,0.6264462809917355
1357331,10,0.0
1357379,33,0.9090909090909091
1357506,12,0.75
1357635,162,0.8395061728395061
1357652,17,0.7058823529411765
1357677,72,0.6944444444444444
1357705,37,0.7837837837837838
1358094,213,0.676056338028169
1358095,309,0.46601941747572817
1358099,8,0.375
1358101,11,0.5454545454545454
1358103,10,0.1
1358105,78,0.8076923076923077
1358108,24,0.25
1358112,12,0.5
1358132,8,0.25
1358133,197,0.583756345177665
1358150,66,0.4696969696969697
1358519,15,0.8666666666666667
1358605,91,0.8131868131868132
1358689,170,0.8647058823529412
1358699,15,0.7333333333333333
1358700,31,0.6774193548387096
1358701,14,0.35714285714285715
1358704,6,0.0
1358706,7,0.2857142857142857
1358710,17,0.5882352941176471
1358749,9,0.1111111111111111
1358751,83,0.5060240963855421
1358752,563,0.6536412078152753
1358760,8,0.5
1358766,192,0.8489583333333334
1359197,54,0.9259259259259259
1359483,42,0.8809523809523809
1359485,82,0.8170731707317073
1359486,21,0.09523809523809523
1359488,91,0.6483516483516484
1359495,5,0.8
1359497,24,0.5416666666666666
1359498,166,0.9397590361445783
1359508,24,0.9166666666666666
1359510,6,1.0
1359517,633,0.660347551342812
1359518,9,0.5555555555555556
1359519,21,0.7142857142857143
1359525,42,0.9285714285714286
1359528,5,0.6
1359530,6,0.8333333333333334
1359616,352,0.8948863636363636
1359620,536,0.7052238805970149
1359622,30,0.7666666666666667
1359625,94,0.851063829787234
1359669,114,0.8508771929824561
1360147,12,0.75
1360148,15,0.8
1360153,85,0.8
1360427,5,0.6
1360550,30,0.8
1360555,31,0.8387096774193549
1360588,92,0.9565217391304348
1360590,83,0.9518072289156626
1360618,13,0.46153846153846156
1360671,100,0.89
1360759,22,1.0
1360811,61,0.9016393442622951
1360835,14,0.8571428571428571
1360978,130,0.9461538461538461
1360998,93,0.8279569892473119
1361024,38,0.9210526315789473
1361508,15,1.0
1361656,189,0.8306878306878307
1361660,15,0.4666666666666667
1361663,28,0.9285714285714286
1361666,46,0.5217391304347826
1361668,13,0.8461538461538461
1361672,14,0.9285714285714286
1361745,22,0.9090909090909091
1361759,90,0.5666666666666667
1361823,343,0.8833819241982507
1361824,342,0.6608187134502924
1361847,31,0.8709677419354839
1361850,31,0.6774193548387096
1361891,16,0.75
1362294,117,0.8888888888888888
1362385,4,0.5
1362434,18,0.7222222222222222
1362435,4,0.0
1362489,15,0.7333333333333333
1362490,163,0.6012269938650306
1362516,26,0.9230769230769231
1362582,17,0.23529411764705882
1362927,31,0.12903225806451613
1362954,55,0.5636363636363636
1363021,39,0.8205128205128205
1363110,44,0.8636363636363636
1363117,13,0.6153846153846154
1363126,30,0.36666666666666664
1363127,14,0.7857142857142857
1363128,502,0.44223107569721115
1363129,52,0.6923076923076923
1363130,307,0.8762214983713354
1363227,902,0.8082039911308204
1363336,148,0.7905405405405406
1363451,30,0.8666666666666667
1363463,5,0.6
1363489,4,0.25
1363490,68,0.7941176470588235
1363491,11,0.7272727272727273
1363613,21,0.3333333333333333
1363699,67,0.746268656716418
1363700,9,0.7777777777777778
1363703,9,0.5555555555555556
1363737,78,0.8333333333333334
1363740,420,0.8023809523809524
1363749,71,0.4788732394366197
1363750,20,0.2
1363764,128,0.71875
1363769,13,0.7692307692307693
1363770,13,0.5384615384615384
1363772,6,0.16666666666666666
1363778,33,0.696969696969697
1363871,33,0.42424242424242425
1363991,483,0.2401656314699793
1364000,22,0.22727272727272727
1364099,668,0.8083832335329342
1364158,12,0.75
1364159,127,0.5748031496062992
1364161,12,0.0
1364164,348,0.7557471264367817
1364165,24,0.7916666666666666
1364172,93,0.8602150537634409
1364173,380,0.618421052631579
1367432,281,0.8362989323843416
1369887,245,0.9020408163265307
1369960,116,0.896551724137931
1370279,6,0.5
1371691,15,0.4
1372016,28,0.9285714285714286
1373530,5,0.2
1374048,292,0.6952054794520548
1375965,5,0.8
1375966,9,0.4444444444444444
1376366,10,0.8
1376703,5,0.4
1376726,16,0.9375
1379513,5,0.2
1383149,13,0.3076923076923077
1384485,181,0.7348066298342542
1384497,4,1.0
1384499,15,0.6
1385700,11,0.8181818181818182
1385701,26,0.9615384615384616
1385937,217,0.9447004608294931
1389044,23,0.7391304347826086
1389230,18,0.8888888888888888
1389231,28,0.8214285714285714
1389294,12,0.0
1389297,29,0.5172413793103449
1389307,32,0.65625
1389308,6,0.3333333333333333
1389442,16,0.9375
1389492,9,0.7777777777777778
1389510,299,0.745819397993311
1389553,11,0.5454545454545454
1389567,7,0.5714285714285714
1389630,10,0.4
1389921,23,0.782608695652174
1389966,7,0.5714285714285714
1390637,94,0.6595744680851063
1390956,6,0.5
1390957,9,1.0
1391110,9,0.5555555555555556
1391112,30,0.6666666666666666
1391192,99,0.9292929292929293
1391193,15,0.8666666666666667
1391209,23,0.8260869565217391
1391226,86,0.9186046511627907
1391235,13,0.6923076923076923
1391250,6,0.3333333333333333
1391326,5,0.8
1391483,112,0.4375
1391529,18,0.7222222222222222
1391530,11,0.9090909090909091
1391648,8,0.625
1391649,23,0.782608695652174
1391652,92,0.717391304347826
1391654,4,0.5
1391762,5,1.0
1391797,42,0.9047619047619048
1391805,5,0.6
1391868,22,0.7727272727272727
1391953,45,0.8
1391963,31,0.9032258064516129
1392093,5,0.2
1392094,28,0.8928571428571429
1392096,10,0.3
1392361,9,0.0
1392365,7,1.0
1392475,792,0.7234848484848485
1392601,5,1.0
1392653,9,0.6666666666666666
1392654,28,0.8571428571428571
1392658,13,0.6923076923076923
1392689,13,0.46153846153846156
1392695,63,0.7936507936507936
1392777,53,0.8301886792452831
1393241,244,0.6434426229508197
1393250,37,0.5135135135135135
1393253,5,0.4
1393254,10,0.4
1393257,8,0.625
1393294,5,0.6
1393393,122,0.6147540983606558
1393414,38,0.6052631578947368
1393418,13,0.7692307692307693
1393423,208,0.9230769230769231
1393425,211,0.7345971563981043
1393449,57,0.9649122807017544
1393450,35,0.9428571428571428
1393466,48,0.625
1393537,4,1.0
1393614,263,0.9543726235741445
1393654,14,0.21428571428571427
1393725,44,0.6590909090909091
1393789,10,0.1
1393792,79,0.6708860759493671
1393823,6,0.8333333333333334
1393846,21,0.9047619047619048
1393850,10,0.9
1393933,15,0.9333333333333333
1393946,44,1.0
1393965,5,0.8
1393968,9,0.8888888888888888
1393980,10,0.3
1393981,10,0.8
1394073,30,0.6
1394082,14,0.8571428571428571
1394120,40,0.55
1394143,6,0.3333333333333333
1394164,16,0.5625
1394313,5,0.6
1394382,169,0.8165680473372781
1394383,6,0.6666666666666666
1394394,16,0.625
1394396,5,0.0
1394399,39,0.6153846153846154
1394401,4,0.25
1394404,110,0.6545454545454545
1394405,12,0.08333333333333333
1394420,238,0.8445378151260504
1394453,22,0.36363636363636365
1394454,128,0.140625
1394455,8,0.0
1394460,424,0.8514150943396226
1394489,81,0.7530864197530864
1394498,10,0.4
1394504,60,0.45
1394508,5,0.6
1394513,23,0.8260869565217391
1394591,220,0.7136363636363636
1394759,20,0.75
1394994,398,0.6934673366834171
1394995,6,0.16666666666666666
1395391,15,0.7333333333333333
1395721,10,0.8
1395722,9,0.7777777777777778
1396133,14,1.0
1396143,14,0.6428571428571429
1396156,13,0.6153846153846154
1396159,8,0.625
1396161,12,0.5833333333333334
1396165,33,0.45454545454545453
1396708,52,0.9423076923076923
1396713,30,0.9666666666666667
1396824,141,0.8865248226950354
1396842,19,0.631578947368421
1396843,37,0.972972972972973
1397209,17,0.8235294117647058
1397268,275,0.8
1397303,51,0.5686274509803921
1397305,9,0.5555555555555556
1397311,26,0.9230769230769231
1397312,60,0.9166666666666666
1397313,30,0.6666666666666666
1397349,6,0.0
1397351,33,0.8181818181818182
1397352,28,0.9285714285714286
1397364,338,0.9674556213017751
1397387,32,0.59375
1397403,24,0.9583333333333334
1397420,65,0.8923076923076924
1397491,9,1.0
1397514,31,0.7741935483870968
1397551,17,0.8235294117647058
1397556,11,0.45454545454545453
1397585,14,0.5
1397598,8,0.875
1398041,19,1.0
1398111,34,0.5882352941176471
1398128,84,0.6309523809523809
1398130,5,0.8
1398178,223,0.5695067264573991
1398274,10,0.9
1398326,36,0.8611111111111112
1398355,5,0.2
1398444,57,0.7017543859649122
1398447,11,0.8181818181818182
1398469,9,0.6666666666666666
1398480,16,0.9375
1398513,26,0.34615384615384615
1398515,105,0.8666666666666667
1398567,15,0.8666666666666667
1398592,200,0.72
1398608,7,0.5714285714285714
1398830,5,0.4
1399145,41,0.4634146341463415
1399231,11,1.0
1399783,41,0.4634146341463415
1399920,7,0.42857142857142855
1400081,17,1.0
1400100,135,0.6814814814814815
1400104,8,0.875
1400471,6,1.0
1400478,17,0.35294117647058826
1401735,9,0.5555555555555556
1402423,5,1.0
1402811,9,1.0
1402920,29,0.4827586206896552
1402921,53,0.39622641509433965
1402924,6,1.0
1402925,12,0.4166666666666667
1402926,27,0.7777777777777778
1403826,6,0.3333333333333333
1403967,14,0.6428571428571429
1405061,5,0.6
1405641,24,0.8333333333333334
1405685,30,0.8333333333333334
1405686,16,0.875
1406426,5,0.8
1406486,13,0.6153846153846154
1406863,11,0.7272727272727273
1408037,14,1.0
1408041,8,0.625
1408045,35,0.8285714285714286
1408214,7,0.8571428571428571
1408421,5,0.0
1408490,8,0.375
1408557,8,0.625
1408688,19,0.7894736842105263
1408738,6,1.0
1408774,222,0.9009009009009009
1408788,12,1.0
1408869,12,0.16666666666666666
1408874,8,1.0
1408961,198,0.5858585858585859
1408979,9,0.3333333333333333
1409185,29,1.0
1409191,14,0.7857142857142857
1409195,6,0.6666666666666666
1409215,34,0.8235294117647058
1409216,20,0.5
1409238,281,0.9537366548042705
1409292,62,0.9032258064516129
1409295,116,0.9137931034482759
1409296,6,1.0
1409746,6,0.16666666666666666
1411524,19,0.7368421052631579
1411687,4,0.5
1411760,8,0.5
1411832,7,0.7142857142857143
1411834,17,0.5882352941176471
1412337,18,0.8888888888888888
1412410,7,0.7142857142857143
1412413,6,0.3333333333333333
1412418,16,0.5
1412659,24,0.5416666666666666
1412661,25,0.84
1412662,7,0.8571428571428571
1412697,8,0.75
1412699,15,1.0
1412833,8,0.0
1412889,8,0.5
1412946,8,0.5
1413002,18,0.7777777777777778
1413013,5,0.8
1413391,11,0.2727272727272727
1413755,34,0.47058823529411764
1413757,7,0.0
1414058,19,0.5789473684210527
1414275,7,0.42857142857142855
1416509,5,0.6
1418140,16,0.875
1418146,133,0.9774436090225563
1418191,8,0.75
1418546,12,0.8333333333333334
1418547,63,0.8888888888888888
1418655,4,0.75
1418665,5,0.4
1418984,8,0.25
1419077,9,0.7777777777777778
1419086,5,0.8
1419091,10,1.0
1419115,13,0.15384615384615385
1419173,21,0.8571428571428571
1419334,26,0.8461538461538461
1419807,5,0.4
1419923,20,0.9
1420496,15,0.8
1420781,6,0.8333333333333334
1420787,6,0.3333333333333333
1420792,7,1.0
1420795,45,0.8666666666666667
1420863,68,0.45588235294117646
1420896,7,0.7142857142857143
1421021,76,0.4605263157894737
1422105,17,0.4117647058823529
1422712,5,0.6
1432783,11,0.18181818181818182
1432786,24,0.0
1434011,6,0.16666666666666666
1435260,6,0.16666666666666666
1435714,221,0.334841628959276
1436922,5,0.2
1438352,14,0.7142857142857143
1441410,4,0.5
1464088,7,0.8571428571428571
1464459,8,1.0
1488026,17,0.8235294117647058
1488171,23,0.9130434782608695
1497434,8,1.0
1497667,33,1.0
1503981,16,0.3125
1513142,7,0.2857142857142857
1514035,6,1.0
1514627,5,0.8
1516297,10,1.0
1529081,63,0.6190476190476191
1529107,32,0.4375
1529124,15,0.7333333333333333
1529212,10,0.7
1529242,13,0.46153846153846156
1529265,21,0.47619047619047616
1529305,4,0.25
1529328,44,0.7272727272727273
1550692,11,0.5454545454545454
1608027,4,0.5
1618661,8,0.5
1643184,13,0.7692307692307693
1643491,13,0.9230769230769231
1643866,11,0.9090909090909091
1643887,6,0.6666666666666666
1646149,11,0.09090909090909091
1664348,7,0.0
1667445,31,0.45161290322580644
